,title,vote_average,vote_count,popularity
0,Toy Story,7.7,5415.0,21.946943
1,Jumanji,6.9,2413.0,17.015539
2,Grumpier Old Men,6.5,92.0,11.7129
3,Waiting to Exhale,6.1,34.0,3.859495
4,Father of the Bride Part II,5.7,173.0,8.387519000000001
5,Heat,7.7,1886.0,17.924927
6,Sabrina,6.2,141.0,6.677277
7,Tom and Huck,5.4,45.0,2.5611610000000002
8,Sudden Death,5.5,174.0,5.23158
9,GoldenEye,6.6,1194.0,14.686035999999998
10,The American President,6.5,199.0,6.318445
11,Dracula: Dead and Loving It,5.7,210.0,5.430331
12,Balto,7.1,423.0,12.140733
13,Nixon,7.1,72.0,5.092
14,Cutthroat Island,5.7,137.0,7.284477000000001
15,Casino,7.8,1343.0,10.137389
16,Sense and Sensibility,7.2,364.0,10.673167
17,Four Rooms,6.5,539.0,9.026586
18,Ace Ventura: When Nature Calls,6.1,1128.0,8.205447999999999
19,Money Train,5.4,224.0,7.337905999999999
20,Get Shorty,6.4,305.0,12.669608
21,Copycat,6.5,199.0,10.701801
22,Assassins,6.0,394.0,11.065939
23,Powder,6.3,143.0,12.133094
24,Leaving Las Vegas,7.1,365.0,10.332025
25,Othello,7.0,33.0,1.8458990000000002
26,Now and Then,6.6,91.0,8.681325
27,Persuasion,7.4,36.0,2.228434
28,The City of Lost Children,7.6,308.0,9.822422999999999
29,Shanghai Triad,6.5,17.0,1.1009149999999999
30,Dangerous Minds,6.4,249.0,9.481338000000001
31,Twelve Monkeys,7.4,2470.0,12.297305
32,Wings of Courage,6.8,4.0,0.745542
33,Babe,6.0,756.0,14.404764000000002
34,Carrington,6.4,16.0,1.4933610000000002
35,Dead Man Walking,7.3,350.0,6.891317
36,Across the Sea of Time,3.5,2.0,0.114469
37,It Takes Two,6.1,149.0,7.777735000000001
38,Clueless,6.9,828.0,9.882383
39,"Cry, the Beloved Country",6.7,13.0,0.894647
40,Richard III,6.9,50.0,4.561387
41,Dead Presidents,6.6,80.0,9.87957
42,Restoration,6.3,30.0,10.979269
43,Mortal Kombat,5.4,452.0,10.870138
44,To Die For,6.7,177.0,10.448481
45,How To Make An American Quilt,6.5,38.0,4.485958
46,Se7en,8.1,5915.0,18.45743
47,Pocahontas,6.7,1509.0,13.280069000000001
48,When Night Is Falling,5.9,10.0,3.302524
49,The Usual Suspects,8.1,3334.0,16.302466
50,Guardian Angel,6.3,3.0,0.595949
51,Mighty Aphrodite,6.7,145.0,15.899134
52,Lamerica,7.7,11.0,1.361286
53,The Big Green,5.2,41.0,5.9827639999999995
54,Georgia,6.1,15.0,4.093443
55,Kids of the Round Table,3.0,1.0,0.307075
56,Home for the Holidays,6.3,39.0,8.416802
57,The Postman,7.6,181.0,10.168436999999999
58,The Confessional,6.5,2.0,0.12078900000000001
59,The Indian in the Cupboard,5.9,136.0,10.673296
60,Eye for an Eye,5.8,65.0,4.733526
